Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-04-18,HDFC,EQ,1479.55,1482.0,1491.0,1474.0,1480.0,1480.05,1480.96,1784505,264278244980000.03,56985.0,1247632.0,0.6990999999999999
2017-04-19,HDFC,EQ,1480.05,1491.55,1492.3,1470.2,1490.2,1490.2,1486.38,1546962,229937547930000.03,82753.0,1145156.0,0.7403000000000001
2017-04-20,HDFC,EQ,1490.2,1490.0,1531.75,1487.1,1511.75,1517.1,1517.89,2905255,440986100105000.0,83577.0,2162309.0,0.7443000000000001
2017-04-21,HDFC,EQ,1517.1,1519.9,1526.75,1490.95,1503.15,1507.45,1506.66,1520049,229019689285000.0,67122.0,1076843.0,0.7084
2017-04-24,HDFC,EQ,1507.45,1509.8,1538.55,1507.45,1525.0,1530.7,1530.48,1550370,237281686810000.0,127662.0,1157467.0,0.7465999999999999
2017-04-25,HDFC,EQ,1530.7,1535.0,1557.6,1531.0,1541.0,1548.4,1546.43,2420240,374274330810000.0,75640.0,1954097.0,0.8074
2017-04-26,HDFC,EQ,1548.4,1551.2,1590.0,1551.2,1576.15,1586.0,1576.49,3596629,567005479290000.0,143646.0,2691832.0,0.7484000000000001
2017-04-27,HDFC,EQ,1586.0,1582.0,1589.95,1559.05,1561.05,1566.5,1575.94,4533632,714474890435000.0,181532.0,3603398.0,0.7948000000000001
2017-04-28,HDFC,EQ,1566.5,1564.1,1566.0,1532.15,1537.0,1537.15,1540.52,2850999,439201170300000.0,155565.0,2252219.0,0.79
2017-05-02,HDFC,EQ,1537.15,1547.0,1590.75,1538.9,1585.55,1584.75,1571.83,4472856,703057546520000.0,190220.0,3468915.0,0.7755
2017-05-03,HDFC,EQ,1584.75,1588.0,1591.85,1563.0,1564.3,1571.3,1575.99,4028393,634871565420000.0,117911.0,3240990.0,0.8045
2017-05-04,HDFC,EQ,1571.3,1573.0,1587.4,1556.0,1558.1,1564.35,1574.65,5810079,914884235279999.9,129219.0,4408453.0,0.7587999999999999
2017-05-05,HDFC,EQ,1564.35,1570.1,1570.2,1540.95,1543.0,1546.85,1548.07,2299986,356054022745000.0,99366.0,1790557.0,0.7785
2017-05-08,HDFC,EQ,1546.85,1542.0,1549.0,1527.15,1529.0,1529.5,1537.62,1887869,290281639890000.0,56878.0,1579702.0,0.8368000000000001
