Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-04-18,HEROMOTOCO,EQ,3240.15,3249.0,3259.05,3216.25,3225.0,3226.25,3244.4,427228,138609876830000.0,32987.0,321953.0,0.7536
2017-04-19,HEROMOTOCO,EQ,3226.25,3238.0,3238.0,3179.0,3180.0,3199.75,3208.5,235606,75594123560000.0,24545.0,150650.0,0.6394
2017-04-20,HEROMOTOCO,EQ,3199.75,3191.0,3218.0,3180.0,3202.5,3198.4,3198.37,158153,50583183440000.0,15089.0,72330.0,0.4573
2017-04-21,HEROMOTOCO,EQ,3198.4,3218.0,3218.0,3192.0,3202.0,3203.2,3205.42,132297,42406682230000.0,17536.0,82244.0,0.6217
2017-04-24,HEROMOTOCO,EQ,3203.2,3217.0,3218.0,3186.5,3203.0,3204.4,3201.59,109307,34995585560000.004,7968.0,68397.0,0.6257
2017-04-25,HEROMOTOCO,EQ,3204.4,3233.0,3312.95,3202.1,3300.0,3305.2,3266.33,601198,196371295440000.0,47254.0,411513.0,0.6845
2017-04-26,HEROMOTOCO,EQ,3305.2,3320.0,3328.0,3271.0,3301.5,3313.05,3304.2,294063,97164201305000.0,28141.0,166794.0,0.5672
2017-04-27,HEROMOTOCO,EQ,3313.05,3319.5,3364.0,3271.05,3315.0,3300.8,3315.47,823678,273087743785000.0,43082.0,561563.0,0.6818000000000001
2017-04-28,HEROMOTOCO,EQ,3300.8,3318.0,3340.0,3288.0,3340.0,3318.6,3315.71,259906,86177414180000.0,22535.0,158886.0,0.6113000000000001
2017-05-02,HEROMOTOCO,EQ,3318.6,3317.6,3388.7,3305.1,3360.1,3352.95,3354.92,248508,83372410080000.0,27909.0,148899.0,0.5992000000000001
2017-05-03,HEROMOTOCO,EQ,3352.95,3368.0,3384.35,3350.0,3370.0,3376.5,3370.3,228007,76845121080000.0,15843.0,149731.0,0.6567000000000001
2017-05-04,HEROMOTOCO,EQ,3376.5,3375.0,3403.9,3357.1,3396.0,3395.65,3382.84,200910,67964582429999.99,31603.0,139562.0,0.6946
2017-05-05,HEROMOTOCO,EQ,3395.65,3389.25,3412.85,3350.15,3361.25,3376.55,3391.26,190683,64665506070000.01,22511.0,99864.0,0.5236999999999999
2017-05-08,HEROMOTOCO,EQ,3376.55,3376.55,3412.0,3367.95,3405.0,3401.25,3396.42,99666,33850761975000.0,8858.0,47224.0,0.47380000000000005
2017-05-09,HEROMOTOCO,EQ,3401.25,3419.95,3442.0,3276.35,3280.0,3282.35,3337.41,501840,167484371685000.0,43125.0,305851.0,0.6095
2017-05-10,HEROMOTOCO,EQ,3282.35,3272.2,3334.9,3265.0,3330.0,3323.85,3300.03,424465,140074675675000.0,32693.0,191294.0,0.4507
2017-05-11,HEROMOTOCO,EQ,3323.85,3375.0,3483.95,3295.15,3468.95,3461.8,3408.35,987725,336651099260000.0,55519.0,248655.0,0.25170000000000003
2017-05-12,HEROMOTOCO,EQ,3461.8,3479.0,3553.8,3463.9,3552.0,3541.5,3516.73,607136,213513622895000.0,45528.0,224747.0,0.37020000000000003
2017-05-15,HEROMOTOCO,EQ,3541.5,3541.0,3558.0,3504.6,3518.0,3515.45,3519.65,215587,75879061685000.0,17129.0,110769.0,0.5138
2017-05-16,HEROMOTOCO,EQ,3515.45,3529.5,3631.8,3491.1,3623.0,3619.4,3561.42,372398,132626560595000.0,33654.0,147610.0,0.39640000000000003
2017-05-17,HEROMOTOCO,EQ,3619.4,3615.0,3683.95,3595.05,3634.1,3645.95,3651.06,338342,123530825925000.0,27003.0,160855.0,0.4754
2017-05-18,HEROMOTOCO,EQ,3645.95,3600.0,3639.0,3577.05,3586.0,3592.05,3602.46,294013,105916958435000.0,23822.0,143430.0,0.4878
2017-05-19,HEROMOTOCO,EQ,3592.05,3597.0,3656.0,3533.75,3565.0,3571.65,3593.06,270446,97172839100000.0,26291.0,113208.0,0.4186
2017-05-22,HEROMOTOCO,EQ,3571.65,3596.75,3645.0,3550.95,3580.15,3562.45,3591.9,255829,91891177780000.0,22156.0,119621.0,0.4676
2017-05-23,HEROMOTOCO,EQ,3562.45,3593.9,3619.0,3550.0,3579.0,3585.0,3584.05,199447,71482808940000.0,27413.0,78193.0,0.392
2017-05-24,HEROMOTOCO,EQ,3585.0,3585.0,3612.3,3527.2,3560.0,3567.6,3570.22,256025,91406539285000.0,39984.0,166139.0,0.6489
2017-05-25,HEROMOTOCO,EQ,3567.6,3567.6,3645.25,3527.15,3640.0,3625.85,3588.29,253648,91016298105000.0,31288.0,124004.0,0.4889
2017-05-26,HEROMOTOCO,EQ,3625.85,3626.1,3660.1,3605.6,3620.0,3618.4,3636.04,193039,70189790785000.0,21195.0,85002.0,0.4403
2017-05-29,HEROMOTOCO,EQ,3618.4,3621.9,3678.45,3590.55,3675.0,3665.8,3641.01,211133,76873828425000.0,16843.0,68418.0,0.3241
2017-05-30,HEROMOTOCO,EQ,3665.8,3660.0,3748.0,3660.0,3736.0,3740.35,3710.5,347224,128837471715000.02,22493.0,171293.0,0.4933
2017-05-31,HEROMOTOCO,EQ,3740.35,3735.0,3762.0,3721.2,3760.0,3745.45,3741.86,424001,158655407815000.0,49480.0,273792.0,0.6456999999999999
2017-06-01,HEROMOTOCO,EQ,3745.45,3742.0,3815.0,3708.8,3730.0,3733.35,3776.56,451621,170557188215000.0,37325.0,279018.0,0.6178
2017-06-02,HEROMOTOCO,EQ,3733.35,3758.8,3857.5,3750.0,3849.95,3849.75,3827.99,570351,218329676740000.0,35344.0,275420.0,0.4829
2017-06-05,HEROMOTOCO,EQ,3849.75,3850.0,3880.55,3821.25,3830.55,3834.95,3847.29,181146,69692162770000.01,21548.0,70089.0,0.38689999999999997
2017-06-06,HEROMOTOCO,EQ,3834.95,3844.0,3844.0,3785.05,3803.15,3799.95,3803.95,119591,45491876275000.0,8696.0,39881.0,0.3335
2017-06-07,HEROMOTOCO,EQ,3799.95,3803.85,3856.05,3803.85,3841.0,3843.25,3844.22,426059,163786244885000.0,44951.0,294488.0,0.6912
2017-06-08,HEROMOTOCO,EQ,3843.25,3847.0,3859.0,3778.25,3783.95,3784.45,3800.49,256253,97388783525000.0,35814.0,167153.0,0.6523000000000001
2017-06-09,HEROMOTOCO,EQ,3784.45,3796.3,3800.5,3755.6,3786.0,3780.1,3779.46,302560,114351364750000.0,19861.0,198672.0,0.6566
2017-06-12,HEROMOTOCO,EQ,3780.1,3777.0,3790.0,3760.35,3771.05,3773.25,3779.97,182605,69024221100000.0,17760.0,117935.0,0.6458
2017-06-13,HEROMOTOCO,EQ,3773.25,3780.0,3785.35,3742.25,3751.0,3752.5,3765.91,212476,80016653550000.0,16843.0,128289.0,0.6038
2017-06-14,HEROMOTOCO,EQ,3752.5,3764.0,3808.0,3751.05,3781.3,3789.05,3788.77,374661,141950620095000.0,39825.0,260012.0,0.6940000000000001
2017-06-15,HEROMOTOCO,EQ,3789.05,3786.0,3820.0,3760.0,3774.0,3777.7,3785.08,163019,61703969715000.0,14888.0,94856.0,0.5819
2017-06-16,HEROMOTOCO,EQ,3777.7,3798.0,3798.0,3757.8,3780.0,3783.55,3780.53,229485,86757401300000.0,20613.0,161061.0,0.7018000000000001
2017-06-19,HEROMOTOCO,EQ,3783.55,3790.0,3834.0,3790.0,3830.0,3825.45,3821.75,176591,67488616179999.99,22384.0,76227.0,0.43170000000000003
2017-06-20,HEROMOTOCO,EQ,3825.45,3829.0,3846.9,3781.0,3786.0,3797.0,3806.82,235259,89558894570000.0,34610.0,122496.0,0.5207
