Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2013-03-26,KOTAKBANK,EQ,631.85,631.8,642.8,626.35,640.65,639.7,635.31,594553,37772290770000.0,22498.0,372001.0,0.6257
2013-03-28,KOTAKBANK,EQ,639.7,640.0,659.7,637.15,656.0,653.0,649.1,642905,41731077460000.0,16301.0,321030.0,0.4993
2013-04-01,KOTAKBANK,EQ,653.0,655.0,655.95,644.95,652.8,652.0,649.96,202615,13169152380000.0,5831.0,93084.0,0.4594
2013-04-02,KOTAKBANK,EQ,652.0,654.95,660.0,646.9,655.4,656.3,654.68,315862,20678938295000.0,10064.0,163826.0,0.5186999999999999
2013-04-03,KOTAKBANK,EQ,656.3,655.95,659.5,646.1,646.1,650.85,655.5,351681,23052804530000.0,12207.0,215534.0,0.6129
2013-04-04,KOTAKBANK,EQ,650.85,646.1,651.0,630.0,632.0,632.7,635.32,539977,34305650970000.0,23677.0,304305.0,0.5636
2013-04-05,KOTAKBANK,EQ,632.7,636.0,640.65,629.2,635.05,636.75,635.7,573646,36466743925000.0,22979.0,391600.0,0.6827
2013-04-08,KOTAKBANK,EQ,636.75,630.7,640.0,623.2,628.25,630.1,629.8,1361417,85742137190000.0,15255.0,1178617.0,0.8656999999999999
2013-04-09,KOTAKBANK,EQ,630.1,633.0,643.65,615.0,616.0,618.75,628.59,506796,31856706580000.0,12443.0,246059.0,0.4855
2013-04-10,KOTAKBANK,EQ,618.75,619.9,639.9,618.05,637.0,638.2,630.4,371683,23431059090000.0,13556.0,146252.0,0.3935
2013-04-11,KOTAKBANK,EQ,638.2,640.0,640.9,620.0,628.45,630.55,630.41,642002,40472736750000.0,21187.0,364565.0,0.5679
2013-04-12,KOTAKBANK,EQ,630.55,630.0,641.85,630.0,640.05,638.35,636.62,283778,18065979440000.0,17151.0,87963.0,0.31
2013-04-15,KOTAKBANK,EQ,638.35,638.35,649.0,633.25,639.05,640.7,641.92,300352,19280193355000.0,9926.0,114951.0,0.38270000000000004
2013-04-16,KOTAKBANK,EQ,640.7,638.7,658.05,636.65,654.0,653.2,649.67,369717,24019433110000.0,8855.0,208776.0,0.5647
2013-04-17,KOTAKBANK,EQ,653.2,656.05,665.45,647.2,659.55,659.75,658.19,817281,53792274740000.0,17707.0,435716.0,0.5331
2013-04-18,KOTAKBANK,EQ,659.75,654.1,672.0,654.1,667.35,668.95,663.24,476623,31611690875000.0,12517.0,217009.0,0.45530000000000004
2013-04-22,KOTAKBANK,EQ,668.95,668.95,680.0,663.3,677.95,676.5,672.4,316930,21310350715000.0,7346.0,131955.0,0.4164
2013-04-23,KOTAKBANK,EQ,676.5,675.95,696.15,670.65,691.0,691.9,683.87,339210,23197588475000.0,10345.0,123730.0,0.36479999999999996
2013-04-25,KOTAKBANK,EQ,691.9,693.0,714.9,691.85,709.9,710.5,706.88,1131977,80016678075000.0,29864.0,824716.0,0.7286
2013-04-26,KOTAKBANK,EQ,710.5,710.25,716.5,695.9,716.0,712.75,706.19,311778,22017501015000.0,16017.0,137962.0,0.4425
2013-04-29,KOTAKBANK,EQ,712.75,713.6,713.6,700.0,708.5,709.0,705.86,494982,34939024045000.0,17123.0,332109.0,0.6709999999999999
2013-04-30,KOTAKBANK,EQ,709.0,707.1,714.9,696.75,707.05,707.1,706.16,610319,43098570840000.0,19501.0,323052.0,0.5293
2013-05-02,KOTAKBANK,EQ,707.1,704.0,724.9,701.2,715.6,717.45,717.53,1390497,99772229825000.0,46538.0,504633.0,0.3629
2013-05-03,KOTAKBANK,EQ,717.45,715.9,727.8,707.7,720.8,723.25,720.33,801381,57725642485000.0,21850.0,363528.0,0.4536
2013-05-06,KOTAKBANK,EQ,723.25,722.0,722.0,704.9,712.5,711.6,710.53,352439,25041802775000.0,7951.0,166669.0,0.4729
2013-05-07,KOTAKBANK,EQ,711.6,713.05,731.35,713.0,730.0,728.45,721.99,704980,50898729755000.0,22268.0,471153.0,0.6683
2013-05-08,KOTAKBANK,EQ,728.45,730.0,734.8,720.0,730.35,728.85,726.9,441102,32063887885000.004,9351.0,273514.0,0.6201
2013-05-09,KOTAKBANK,EQ,728.85,729.3,730.0,720.65,725.55,723.35,725.32,248896,18053023300000.0,10299.0,96940.0,0.3895
2013-05-10,KOTAKBANK,EQ,723.35,721.25,733.45,716.0,731.0,730.45,725.57,431886,31336310839999.996,8850.0,230311.0,0.5333
2013-05-11,KOTAKBANK,EQ,730.45,730.5,736.75,727.15,736.0,734.8,733.05,32524,2384167010000.0,603.0,19385.0,0.596
2013-05-13,KOTAKBANK,EQ,734.8,736.0,736.65,723.0,725.0,725.0,728.79,342596,24968161630000.0,10517.0,160922.0,0.4697
2013-05-14,KOTAKBANK,EQ,725.0,725.8,732.4,720.75,729.0,729.9,728.13,328337,23907276130000.0,8824.0,159607.0,0.48610000000000003
2013-05-15,KOTAKBANK,EQ,729.9,730.0,770.05,726.9,767.3,768.25,754.2,783688,59105667754999.99,20236.0,438136.0,0.5590999999999999
2013-05-16,KOTAKBANK,EQ,768.25,763.0,781.5,761.95,780.0,777.95,769.5,784198,60344040870000.01,14136.0,436247.0,0.5563
2013-05-17,KOTAKBANK,EQ,777.95,774.0,799.0,768.7,793.0,794.35,784.21,571617,44826913650000.0,14435.0,278504.0,0.4872
2013-05-20,KOTAKBANK,EQ,794.35,794.5,797.95,778.0,781.0,781.75,788.32,531866,41927798025000.0,14246.0,246060.0,0.4626
2013-05-21,KOTAKBANK,EQ,781.75,781.75,782.8,762.85,763.65,765.1,770.01,536141,41283132525000.0,14081.0,327521.0,0.6109
2013-05-22,KOTAKBANK,EQ,765.1,766.1,773.3,759.35,769.0,768.1,767.13,317584,24362845390000.0,9896.0,118613.0,0.3735
2013-05-23,KOTAKBANK,EQ,768.1,763.0,772.15,752.6,767.2,765.55,764.13,454729,34747086235000.004,19153.0,215484.0,0.4739
2013-05-24,KOTAKBANK,EQ,765.55,767.1,784.25,759.4,779.1,781.05,774.48,380975,29505877839999.996,19363.0,157712.0,0.414
2013-05-27,KOTAKBANK,EQ,781.05,781.35,793.9,769.25,785.7,789.45,780.08,616977,48129196495000.0,35759.0,339309.0,0.55
