Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-04-18,LT,EQ,1681.35,1684.0,1698.95,1663.2,1669.0,1669.5,1680.94,1226326,206137786195000.0,38828.0,533198,0.43479999999999996
2017-04-19,LT,EQ,1669.5,1670.0,1675.0,1661.85,1671.15,1670.55,1669.15,772108,128876540875000.0,57277.0,454741,0.589
2017-04-20,LT,EQ,1670.55,1673.9,1686.6,1663.2,1679.0,1681.2,1676.53,696126,116707849650000.0,31366.0,335518,0.48200000000000004
2017-04-21,LT,EQ,1681.2,1695.0,1701.7,1680.0,1686.7,1687.5,1689.65,1610621,272139378560000.0,58773.0,937879,0.5822999999999999
2017-04-24,LT,EQ,1687.5,1693.0,1736.4,1691.0,1734.7,1732.7,1724.57,2159020,372338319375000.0,88303.0,1070942,0.49600000000000005
2017-04-25,LT,EQ,1732.7,1740.0,1750.0,1736.0,1744.0,1746.1,1745.12,1919863,335039815745000.0,74378.0,1309213,0.6819
2017-04-26,LT,EQ,1746.1,1746.0,1764.0,1740.0,1745.0,1751.3,1753.0,1923815,337244566455000.0,70947.0,1170054,0.6082
2017-04-27,LT,EQ,1751.3,1747.85,1774.0,1744.0,1760.0,1766.75,1756.91,1417418,249027745269999.97,74503.0,796191,0.5617
2017-04-28,LT,EQ,1766.75,1763.05,1765.75,1740.2,1749.0,1749.8,1749.16,1091826,190978374345000.0,52420.0,616839,0.5650000000000001
2017-05-02,LT,EQ,1749.8,1750.1,1767.0,1725.0,1737.95,1732.05,1740.52,1240761,215956874794999.97,78911.0,713188,0.5748
2017-05-03,LT,EQ,1732.05,1736.0,1745.25,1716.0,1720.5,1720.2,1724.05,864188,148989920950000.0,47002.0,498215,0.5765
2017-05-04,LT,EQ,1720.2,1724.0,1741.95,1722.0,1730.0,1731.65,1731.52,836891,144909415005000.0,54894.0,445030,0.5318
2017-05-05,LT,EQ,1731.65,1730.0,1731.1,1703.2,1722.0,1724.4,1714.21,1036761,177722814050000.0,64593.0,648090,0.6251
2017-05-08,LT,EQ,1724.4,1728.0,1738.8,1705.1,1708.0,1709.6,1718.11,830744,142730710835000.0,37821.0,377603,0.4545
2017-05-09,LT,EQ,1709.6,1712.0,1756.95,1705.0,1745.0,1744.65,1734.23,1224308,212323558265000.0,52140.0,485732,0.39670000000000005
2017-05-10,LT,EQ,1744.65,1754.7,1765.0,1731.1,1741.55,1739.25,1748.98,1340085,234378112555000.03,36603.0,618197,0.46130000000000004
2017-05-11,LT,EQ,1739.25,1750.0,1754.5,1719.6,1738.05,1736.85,1736.96,846964,147114452910000.0,58824.0,427680,0.505
2017-05-12,LT,EQ,1736.85,1737.45,1757.0,1726.6,1740.55,1740.6,1742.58,1202512,209547858945000.0,39153.0,386955,0.32180000000000003
2017-05-15,LT,EQ,1740.6,1748.6,1751.55,1736.5,1742.0,1742.4,1743.15,797134,138952142700000.0,52614.0,529359,0.6641
2017-05-16,LT,EQ,1742.4,1747.0,1748.25,1727.55,1740.6,1740.7,1736.62,1102926,191536457100000.0,48756.0,674148,0.6112
2017-05-17,LT,EQ,1740.7,1743.9,1764.0,1730.5,1754.3,1755.45,1749.36,1668586,291895473205000.0,77513.0,830692,0.4978
2017-05-18,LT,EQ,1755.45,1739.65,1750.1,1716.4,1722.1,1722.6,1725.53,1437220,247996798410000.0,47602.0,915874,0.6373
2017-05-19,LT,EQ,1722.6,1729.0,1734.0,1697.55,1720.05,1724.55,1718.73,1512094,259888548769999.97,59280.0,838396,0.5545
2017-05-22,LT,EQ,1724.55,1733.0,1759.0,1729.0,1753.0,1751.95,1749.85,1892816,331214810345000.0,81450.0,1222100,0.6456999999999999
2017-05-23,LT,EQ,1751.95,1755.0,1764.9,1727.4,1735.5,1740.75,1744.75,975870,170264779375000.0,54639.0,431247,0.44189999999999996
2017-05-24,LT,EQ,1740.75,1742.1,1756.9,1677.6,1689.45,1684.45,1721.17,1448713,249348695360000.0,50761.0,754200,0.5206000000000001
2017-05-25,LT,EQ,1684.45,1692.0,1775.0,1692.0,1765.0,1768.85,1753.44,3603181,631794762340000.0,95146.0,2346405,0.6512000000000001
2017-05-26,LT,EQ,1768.85,1770.0,1799.0,1753.85,1784.1,1787.6,1779.89,2044054,363819884100000.0,71833.0,995635,0.48710000000000003
2017-05-29,LT,EQ,1787.6,1783.9,1809.95,1766.0,1778.3,1782.4,1790.3,2022439,362077494090000.0,90245.0,792039,0.39159999999999995
2017-05-30,LT,EQ,1782.4,1816.0,1833.95,1754.0,1770.0,1767.55,1784.55,4366960,779304077575000.0,127796.0,1419839,0.3251
2017-05-31,LT,EQ,1767.55,1772.5,1785.0,1750.7,1756.0,1760.7,1769.22,2000488,353930042600000.0,92989.0,1194770,0.5972
2017-06-01,LT,EQ,1760.7,1760.0,1798.0,1748.0,1792.1,1792.8,1772.42,1932123,342452611995000.0,72013.0,957738,0.49570000000000003
2017-06-02,LT,EQ,1792.8,1800.0,1805.0,1778.1,1784.85,1784.0,1787.39,950214,169840486745000.0,45529.0,436632,0.4595
2017-06-05,LT,EQ,1784.0,1795.0,1809.4,1783.5,1804.35,1804.9,1802.25,1270946,229056618790000.0,62246.0,690909,0.5436
2017-06-06,LT,EQ,1804.9,1807.7,1808.05,1772.15,1773.0,1775.15,1783.32,954046,170137176460000.0,50045.0,494546,0.5184000000000001
2017-06-07,LT,EQ,1775.15,1774.0,1794.5,1773.0,1786.3,1788.6,1784.63,885027,157944535905000.0,53026.0,466130,0.5267000000000001
2017-06-08,LT,EQ,1788.6,1789.0,1799.0,1771.5,1772.5,1774.25,1782.77,952653,169836078780000.0,39123.0,534176,0.5607
2017-06-09,LT,EQ,1774.25,1777.0,1783.9,1761.6,1779.8,1778.2,1773.47,1088138,192977659280000.0,44515.0,583696,0.5364
2017-06-12,LT,EQ,1778.2,1777.8,1778.0,1708.9,1743.0,1736.6,1732.36,2712638,469927094705000.0,98321.0,1530043,0.564
2017-06-13,LT,EQ,1736.6,1744.55,1754.7,1736.55,1740.85,1739.0,1743.56,941516,164158996905000.0,57523.0,476292,0.5059
2017-06-14,LT,EQ,1739.0,1742.0,1771.35,1734.8,1759.0,1764.45,1755.83,1386438,243435427350000.0,61835.0,667755,0.4816
2017-06-15,LT,EQ,1764.45,1757.15,1761.9,1730.0,1735.0,1735.35,1739.34,987395,171741559600000.0,50173.0,491047,0.49729999999999996
2017-06-16,LT,EQ,1735.35,1734.85,1751.0,1720.7,1730.5,1726.7,1730.99,1495435,258857774119999.97,61005.0,905579,0.6056
2017-06-19,LT,EQ,1726.7,1736.0,1760.0,1732.2,1759.0,1755.8,1745.53,1187371,207259401550000.0,47845.0,619628,0.5218
2017-06-20,LT,EQ,1755.8,1758.7,1768.95,1740.2,1750.6,1750.5,1752.57,1043648,182906689230000.0,45980.0,507190,0.48600000000000004
2017-06-21,LT,EQ,1750.5,1758.5,1782.0,1751.0,1752.8,1754.2,1765.66,2371285,418688184580000.0,79145.0,911466,0.38439999999999996
2017-06-22,LT,EQ,1754.2,1760.0,1765.6,1732.3,1736.5,1736.4,1746.83,1174506,205165757515000.0,55886.0,612220,0.5213
2017-06-23,LT,EQ,1736.4,1740.0,1743.25,1719.0,1721.3,1722.7,1724.98,1144550,197433099615000.0,60559.0,569745,0.4978
2017-06-27,LT,EQ,1722.7,1717.55,1737.95,1685.9,1701.9,1701.7,1704.89,1544697,263353465290000.0,77026.0,870666,0.5636
2017-06-28,LT,EQ,1701.7,1698.85,1708.0,1681.35,1701.4,1703.25,1697.25,1052350,178610431715000.0,64152.0,593056,0.5636
2017-06-29,LT,EQ,1703.25,1704.1,1723.15,1695.55,1700.0,1703.65,1707.98,1806368,308524289495000.0,68391.0,1125747,0.6232
2017-06-30,LT,EQ,1703.65,1699.0,1699.0,1661.3,1686.8,1687.6,1676.76,2167690,363469494720000.0,93983.0,1182480,0.5455
2017-07-03,LT,EQ,1687.6,1688.0,1710.5,1673.4,1684.4,1687.25,1692.91,1446731,244919243735000.0,46145.0,726484,0.5022
2017-07-04,LT,EQ,1687.25,1700.0,1700.0,1671.0,1680.5,1683.35,1681.84,1093359,183885137935000.0,41808.0,537333,0.4915
2017-07-05,LT,EQ,1683.35,1684.0,1699.0,1680.1,1699.0,1695.3,1691.62,689627,116658778690000.02,30850.0,359401,0.5212
2017-07-06,LT,EQ,1695.3,1699.2,1706.95,1690.3,1695.0,1697.6,1700.02,945054,160660874340000.0,42026.0,594582,0.6292
2017-07-07,LT,EQ,1697.6,1697.0,1717.9,1690.2,1705.05,1704.4,1706.48,1230066,209907714080000.0,43163.0,508698,0.4136
2017-07-10,LT,EQ,1704.4,1720.1,1739.0,1710.1,1734.7,1732.15,1729.98,216490,37452315310000.0,6451.0,119613,0.5525
2017-07-11,LT,EQ,1732.15,1739.4,1749.9,1730.0,1742.0,1741.1,1742.03,1415965,246664667815000.0,55194.0,872822,0.6164000000000001
2017-07-12,LT,EQ,1741.1,1748.0,1756.7,1735.7,1740.35,1739.55,1747.37,1357936,237281266315000.0,51995.0,924888,0.6811
2017-07-13,LT,EQ,1739.55,1165.1,1182.5,1160.0,1176.0,1175.1,1174.04,1643754,192984010045000.0,55472.0,827283,0.5033
2017-07-14,LT,EQ,1175.1,1183.0,1183.0,1159.55,1171.0,1171.2,1168.77,1401864,163846356100000.0,46316.0,749320,0.5345000000000001
2017-07-17,LT,EQ,1171.2,1178.0,1182.0,1162.4,1171.8,1171.25,1171.58,1646087,192851525960000.0,42889.0,1164254,0.7073
2017-07-18,LT,EQ,1171.25,1169.9,1187.0,1168.1,1180.4,1177.9,1180.19,2375324,280332217035000.0,37748.0,1664958,0.7009000000000001
2017-07-19,LT,EQ,1177.9,1184.0,1187.0,1170.1,1181.4,1181.3,1181.27,1827242,215847016494999.97,43837.0,1188678,0.6505
