Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-04-18,TCS,EQ,2314.85,2330.0,2334.2,2302.05,2302.05,2308.8,2319.46,865310,200705161565000.0,32093.0,271082,0.31329999999999997
2017-04-19,TCS,EQ,2308.8,2263.5,2348.7,2252.8,2302.0,2299.15,2297.47,2813406,646372412580000.0,118781.0,928052,0.3299
2017-04-20,TCS,EQ,2299.15,2305.3,2332.0,2290.95,2325.0,2325.5,2309.27,634421,146505193720000.0,58222.0,372946,0.5879
2017-04-21,TCS,EQ,2325.5,2329.1,2335.65,2301.0,2312.0,2310.8,2313.83,580577,134335365659999.98,29955.0,361176,0.6221
2017-04-24,TCS,EQ,2310.8,2300.0,2339.65,2282.5,2328.0,2328.1,2317.25,1000010,231727354835000.0,48463.0,638695,0.6386999999999999
2017-04-25,TCS,EQ,2328.1,2328.0,2344.45,2302.7,2310.0,2311.5,2313.08,1574355,364160687645000.0,83159.0,1306150,0.8296
2017-04-26,TCS,EQ,2311.5,2340.0,2343.95,2303.05,2310.0,2310.35,2312.81,1093719,252956249944999.97,47332.0,845965,0.7735
2017-04-27,TCS,EQ,2310.35,2306.05,2327.8,2277.65,2289.8,2302.65,2307.22,2886593,665999349320000.0,90044.0,2491865,0.8633
2017-04-28,TCS,EQ,2302.65,2294.0,2298.75,2268.0,2275.0,2273.15,2281.49,1270255,289807701740000.0,71376.0,962404,0.7576
2017-05-02,TCS,EQ,2273.15,2294.0,2302.0,2280.0,2288.15,2289.9,2291.39,1191348,272984123819999.97,84453.0,954608,0.8013
2017-05-03,TCS,EQ,2289.9,2295.0,2345.0,2268.5,2337.8,2337.3,2321.66,1757203,407963498150000.0,90354.0,1185505,0.6747
2017-05-04,TCS,EQ,2337.3,2349.95,2350.0,2308.8,2331.9,2330.1,2326.77,1354104,315069011985000.0,64467.0,1007903,0.7443000000000001
2017-05-05,TCS,EQ,2330.1,2308.0,2332.5,2302.5,2323.0,2320.5,2319.55,841237,195128953665000.0,44152.0,484888,0.5764
2017-05-08,TCS,EQ,2320.5,2321.0,2347.4,2317.7,2342.0,2342.45,2337.57,535891,125268479620000.0,40124.0,344969,0.6437
2017-05-09,TCS,EQ,2342.45,2343.95,2361.0,2332.55,2355.0,2352.55,2349.47,895135,210309450280000.0,56506.0,663864,0.7415999999999999
2017-05-10,TCS,EQ,2352.55,2355.0,2356.15,2316.0,2335.75,2332.45,2330.31,603194,140562727225000.0,50299.0,381618,0.6327
2017-05-11,TCS,EQ,2332.45,2347.3,2360.0,2322.75,2350.65,2349.45,2338.36,1035651,242172880085000.0,48951.0,786051,0.7590000000000001
2017-05-12,TCS,EQ,2349.45,2343.3,2369.9,2320.05,2369.9,2360.65,2350.96,1157223,272059046569999.97,43095.0,807055,0.6973999999999999
2017-05-15,TCS,EQ,2360.65,2375.1,2377.95,2341.6,2368.0,2365.1,2352.6,908802,213804338300000.0,30047.0,712450,0.7839
2017-05-16,TCS,EQ,2365.1,2380.0,2435.0,2373.45,2425.1,2429.15,2410.26,1800513,433970320625000.0,58476.0,1167534,0.6484000000000001
2017-05-17,TCS,EQ,2429.15,2433.5,2460.75,2423.0,2450.0,2455.35,2443.31,1438099,351372862980000.0,86412.0,1031752,0.7173999999999999
2017-05-18,TCS,EQ,2455.35,2450.0,2572.0,2442.25,2525.0,2536.2,2525.78,2569297,648947832485000.0,111566.0,1135613,0.44200000000000006
2017-05-19,TCS,EQ,2536.2,2536.2,2540.55,2486.0,2503.85,2507.15,2506.58,893022,223842986260000.0,63112.0,517461,0.5794
2017-05-22,TCS,EQ,2507.15,2510.0,2553.75,2510.0,2535.0,2531.35,2530.69,831970,210546114345000.0,53261.0,509741,0.6127
2017-05-23,TCS,EQ,2531.35,2533.2,2564.15,2514.0,2523.7,2521.7,2530.49,1374298,347764533905000.0,88749.0,995551,0.7244
