Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-04-18,WIPRO,EQ,492.3,491.0,497.75,490.6,494.0,494.0,493.92,1178496,58208201540000.0,13447.0,813757.0,0.6905
2017-04-19,WIPRO,EQ,494.0,497.5,499.55,490.3,498.0,498.25,495.31,1226899,60769491340000.0,34126.0,739380.0,0.6026
2017-04-20,WIPRO,EQ,498.25,498.0,505.1,496.05,500.5,499.75,500.32,942309,47145266865000.0,19450.0,526722.0,0.559
2017-04-21,WIPRO,EQ,499.75,500.0,503.4,483.0,487.5,491.25,497.23,1583588,78740404010000.0,18466.0,1196563.0,0.7556
2017-04-24,WIPRO,EQ,491.25,487.4,495.0,484.6,493.8,491.55,489.79,1291379,63250141215000.0,20381.0,847912.0,0.6566
2017-04-25,WIPRO,EQ,491.55,493.5,500.0,489.15,495.0,494.3,493.87,2207008,108998053120000.0,24598.0,1287962.0,0.5836
2017-04-26,WIPRO,EQ,494.3,503.0,512.5,488.6,489.3,490.85,497.34,11346384,564297828615000.0,138461.0,4013945.0,0.35380000000000006
2017-04-27,WIPRO,EQ,490.85,493.9,498.15,488.4,496.0,496.05,494.21,3724520,184068086245000.0,34490.0,2291511.0,0.6153000000000001
2017-04-28,WIPRO,EQ,496.05,497.0,497.7,490.05,495.5,494.25,492.34,2266250,111576978600000.0,30969.0,1720916.0,0.7594
2017-05-02,WIPRO,EQ,494.25,496.15,497.95,493.6,494.0,494.9,495.6,1044093,51745167000000.0,26773.0,562449.0,0.5387
2017-05-03,WIPRO,EQ,494.9,498.1,499.7,494.25,495.5,496.45,496.77,762259,37867068770000.0,14185.0,249418.0,0.3272
2017-05-04,WIPRO,EQ,496.45,497.15,501.3,493.9,499.95,499.95,498.13,759174,37816426115000.0,14248.0,428657.0,0.5646
2017-05-05,WIPRO,EQ,499.95,499.7,501.0,496.35,498.9,499.3,498.25,510545,25438012665000.0,10185.0,233923.0,0.4582
2017-05-08,WIPRO,EQ,499.3,500.0,504.3,496.1,502.5,502.3,502.4,937883,47119031610000.0,15579.0,609318.0,0.6497
2017-05-09,WIPRO,EQ,502.3,504.0,509.75,500.55,508.55,508.9,505.78,1421594,71900973615000.0,26051.0,897714.0,0.6315
2017-05-10,WIPRO,EQ,508.9,507.4,510.15,498.65,499.8,499.65,502.2,836075,41987908445000.0,32060.0,462749.0,0.5535
2017-05-11,WIPRO,EQ,499.65,502.85,505.75,500.4,505.45,504.65,503.44,636337,32035541375000.0,25065.0,417329.0,0.6558
2017-05-12,WIPRO,EQ,504.65,505.65,507.8,504.2,507.0,507.05,506.37,1130832,57261475075000.0,36060.0,894066.0,0.7906000000000001
2017-05-15,WIPRO,EQ,507.05,510.0,510.0,501.65,506.25,506.3,504.75,665563,33594565210000.004,43630.0,349982.0,0.5258
2017-05-16,WIPRO,EQ,506.3,505.5,516.2,505.5,515.65,515.35,513.02,1340034,68746619420000.01,26711.0,778742.0,0.5811000000000001
2017-05-17,WIPRO,EQ,515.35,517.0,517.5,508.0,510.1,510.55,510.45,1380493,70467480755000.0,41165.0,947253.0,0.6862
2017-05-18,WIPRO,EQ,510.55,506.95,527.85,505.8,525.1,525.4,522.52,3210684,167766141115000.0,90350.0,1443893.0,0.4497
2017-05-19,WIPRO,EQ,525.4,527.0,527.85,518.05,520.0,519.75,520.54,955803,49753531920000.0,43758.0,436467.0,0.45659999999999995
2017-05-22,WIPRO,EQ,519.75,521.7,523.35,506.55,521.6,521.2,519.15,1074951,55806061865000.0,47927.0,681529.0,0.634
2017-05-23,WIPRO,EQ,521.2,522.0,529.0,520.2,525.9,526.4,526.08,1637877,86164855350000.0,64516.0,961712.0,0.5872
2017-05-24,WIPRO,EQ,526.4,527.7,532.2,519.85,525.5,525.0,527.68,1244436,65666390785000.0,80741.0,681362.0,0.5475
2017-05-25,WIPRO,EQ,525.0,525.65,538.7,525.65,535.05,536.45,534.4,3768770,201404155890000.0,86371.0,3237665.0,0.8591
2017-05-26,WIPRO,EQ,536.45,534.0,544.9,531.6,540.0,539.0,540.38,1456096,78684379965000.0,40407.0,1078545.0,0.7406999999999999
2017-05-29,WIPRO,EQ,539.0,539.0,539.05,530.0,537.0,534.6,533.84,593802,31699377300000.0,25106.0,347140.0,0.5846
2017-05-30,WIPRO,EQ,534.6,530.0,540.0,529.4,536.45,536.15,536.0,1244509,66705879765000.0,41644.0,773929.0,0.6219
2017-05-31,WIPRO,EQ,536.15,537.55,540.0,533.0,536.0,535.5,535.38,2933063,157031207795000.0,69833.0,2263443.0,0.7717
2017-06-01,WIPRO,EQ,535.5,535.45,545.0,534.6,541.9,541.15,541.65,797029,43171198225000.0,20927.0,455442.0,0.5714
2017-06-02,WIPRO,EQ,541.15,543.05,553.9,540.8,550.0,551.65,547.52,1205264,65990355729999.99,22325.0,832387.0,0.6906
2017-06-05,WIPRO,EQ,551.65,551.55,557.9,546.55,554.0,555.55,553.5,1806370,99982843365000.0,24157.0,1072432.0,0.5937
2017-06-06,WIPRO,EQ,555.55,556.0,568.0,551.55,560.0,560.55,561.03,2071865,116237001575000.0,54315.0,1080366.0,0.5214
2017-06-07,WIPRO,EQ,560.55,560.2,561.5,535.25,549.05,549.4,547.74,2580416,141339673460000.0,37976.0,1252666.0,0.4855
2017-06-08,WIPRO,EQ,549.4,549.9,553.0,541.65,548.05,545.9,545.92,1500337,81906078305000.0,19913.0,976308.0,0.6507
2017-06-09,WIPRO,EQ,545.9,544.05,544.05,531.6,537.0,536.95,536.94,1759615,94481255490000.0,31929.0,862254.0,0.49
2017-06-12,WIPRO,EQ,536.95,535.6,535.6,520.65,524.4,526.35,526.27,2324265,122318428925000.0,26913.0,1017504.0,0.4378
2017-06-13,WIPRO,EQ,526.35,260.0,266.7,256.75,258.85,259.0,261.51,3354767,87729108350000.0,36483.0,902500.0,0.269
2017-06-14,WIPRO,EQ,259.0,261.3,261.3,252.3,256.9,256.1,254.93,3030195,77247625990000.0,35433.0,1458842.0,0.4814
2017-06-15,WIPRO,EQ,256.1,260.0,261.9,255.05,260.1,260.85,259.32,3119177,80887797195000.0,37468.0,1270677.0,0.40740000000000004
2017-06-16,WIPRO,EQ,260.85,260.1,263.1,252.8,254.6,255.25,255.65,3011359,76984140335000.0,46324.0,1374657.0,0.4565
2017-06-19,WIPRO,EQ,255.25,256.0,257.9,253.35,254.1,254.55,254.72,1459377,37173592095000.0,19359.0,738067.0,0.5057
2017-06-20,WIPRO,EQ,254.55,255.0,256.35,253.5,255.0,254.25,254.38,773797,19683835880000.0,15540.0,265436.0,0.34299999999999997
2017-06-21,WIPRO,EQ,254.25,254.25,256.5,252.0,256.0,255.9,254.42,1835890,46709478670000.0,28303.0,1203514.0,0.6555
