Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-12-03,ASIANPAINT,EQ,2315.85,2340.0,2421.85,2316.25,2403.9,2411.4,2375.88,4334658,1029862054145000.1,130221.0,1376841.0,0.31760000000000005
2020-12-04,ASIANPAINT,EQ,2411.4,2400.0,2445.0,2375.0,2444.0,2438.75,2411.24,2789953,672724724500000.0,101116.0,756659.0,0.2712
2020-12-07,ASIANPAINT,EQ,2438.75,2440.0,2478.8,2437.0,2474.0,2472.55,2459.37,1762501,433463970150000.0,58956.0,667260.0,0.3786
2020-12-08,ASIANPAINT,EQ,2472.55,2470.55,2484.2,2427.95,2445.0,2438.9,2450.57,2090950,512402064995000.0,92968.0,950656.0,0.4547
2020-12-09,ASIANPAINT,EQ,2438.9,2450.0,2532.1,2447.0,2528.0,2522.3,2487.63,2022370,503091433700000.0,94161.0,513690.0,0.254
2020-12-10,ASIANPAINT,EQ,2522.3,2515.95,2552.0,2501.0,2530.0,2526.05,2524.75,2372909,599101248235000.0,86158.0,514085.0,0.21660000000000001
2020-12-11,ASIANPAINT,EQ,2526.05,2516.0,2536.9,2495.0,2518.0,2520.95,2512.41,2171653,545608272014999.94,84201.0,943810.0,0.43460000000000004
2020-12-14,ASIANPAINT,EQ,2520.95,2530.0,2553.9,2521.0,2541.9,2548.15,2538.98,1280339,325075166035000.0,69794.0,432932.0,0.3381
2020-12-15,ASIANPAINT,EQ,2548.15,2535.0,2538.6,2502.5,2531.05,2527.45,2525.97,1283286,324153702475000.0,60317.0,577807.0,0.45030000000000003
2020-12-16,ASIANPAINT,EQ,2527.45,2540.0,2587.9,2537.6,2583.95,2582.45,2569.92,1920875,493649578539999.94,97258.0,579318.0,0.30160000000000003
2020-12-17,ASIANPAINT,EQ,2582.45,2569.0,2603.35,2557.0,2580.0,2575.05,2576.9,1750663,451127727320000.0,93045.0,729270.0,0.41659999999999997
2020-12-18,ASIANPAINT,EQ,2575.05,2577.0,2636.0,2575.55,2596.95,2601.5,2602.24,4402604,1145663403200000.0,115277.0,1742565.0,0.3958
2020-12-21,ASIANPAINT,EQ,2601.5,2595.45,2602.3,2539.1,2542.35,2554.65,2573.97,1383048,355992196490000.0,72383.0,419257.0,0.3031
2020-12-22,ASIANPAINT,EQ,2554.65,2541.0,2613.6,2496.2,2603.9,2600.8,2550.57,1993090,508352427360000.06,93359.0,418284.0,0.20989999999999998
2020-12-23,ASIANPAINT,EQ,2600.8,2604.0,2650.0,2604.0,2638.15,2642.55,2624.89,1339307,351553887155000.0,71569.0,199678.0,0.1491
2020-12-24,ASIANPAINT,EQ,2642.55,2658.0,2658.0,2613.0,2641.85,2648.25,2633.84,1143202,301101180985000.0,56095.0,232195.0,0.2031
2020-12-28,ASIANPAINT,EQ,2648.25,2654.25,2689.5,2629.55,2684.0,2683.9,2659.78,1226254,326156529700000.0,62227.0,236730.0,0.1931
2020-12-29,ASIANPAINT,EQ,2683.9,2685.0,2712.45,2673.0,2693.0,2696.8,2694.87,1562853,421168383615000.0,68785.0,207784.0,0.133
2020-12-30,ASIANPAINT,EQ,2696.8,2694.0,2742.85,2680.35,2735.3,2734.4,2716.05,1614643,438544340200000.0,61711.0,192271.0,0.1191
2020-12-31,ASIANPAINT,EQ,2734.4,2734.4,2772.0,2725.05,2760.55,2764.5,2748.72,1526325,419543363780000.0,53562.0,362396.0,0.2374
2021-01-01,ASIANPAINT,EQ,2764.5,2759.0,2792.0,2750.0,2770.1,2775.55,2774.59,1246698,345907459440000.0,44528.0,95779.0,0.0768
2021-01-04,ASIANPAINT,EQ,2775.55,2781.1,2791.1,2745.0,2754.0,2753.7,2761.2,1360486,375656833450000.0,75734.0,426338.0,0.3134
2021-01-05,ASIANPAINT,EQ,2753.7,2753.7,2804.6,2732.0,2796.35,2793.85,2767.75,1299589,359693939360000.0,65696.0,358540.0,0.2759
2021-01-06,ASIANPAINT,EQ,2793.85,2801.3,2822.45,2780.0,2799.95,2805.35,2795.31,1697884,474611744670000.0,81675.0,282628.0,0.16649999999999998
2021-01-07,ASIANPAINT,EQ,2805.35,2801.0,2831.85,2781.5,2791.0,2792.25,2811.19,1142806,321264801425000.0,61707.0,270866.0,0.237
2021-01-08,ASIANPAINT,EQ,2792.25,2818.0,2849.8,2789.05,2841.0,2844.7,2815.72,1660967,467681716750000.0,100519.0,678569.0,0.40850000000000003
2021-01-11,ASIANPAINT,EQ,2844.7,2845.0,2873.45,2824.6,2846.0,2849.3,2848.24,1517995,432360775775000.0,64182.0,448384.0,0.2954
2021-01-12,ASIANPAINT,EQ,2849.3,2849.6,2850.0,2712.15,2757.0,2720.55,2742.9,6674890,1830858411600000.0,147812.0,4750700.0,0.7117
2021-01-13,ASIANPAINT,EQ,2720.55,2760.0,2763.0,2678.0,2700.0,2703.7,2710.34,2862676,775883016225000.0,140068.0,1275675.0,0.44560000000000005
2021-01-14,ASIANPAINT,EQ,2703.7,2713.0,2736.65,2648.0,2667.0,2663.9,2667.03,2124950,566730576230000.0,89285.0,1058846.0,0.4983
2021-01-15,ASIANPAINT,EQ,2663.9,2660.9,2661.85,2580.55,2585.7,2590.9,2615.33,2570436,672252625175000.0,113890.0,1397161.0,0.5436
2021-01-18,ASIANPAINT,EQ,2590.9,2592.0,2619.85,2555.4,2584.25,2588.2,2580.1,2395168,617977675055000.0,102029.0,1097346.0,0.4581
2021-01-19,ASIANPAINT,EQ,2588.2,2615.0,2676.6,2590.0,2651.0,2645.05,2637.82,2558693,674937060725000.0,137160.0,775172.0,0.303
2021-01-20,ASIANPAINT,EQ,2645.05,2654.0,2707.15,2645.05,2695.0,2697.25,2685.07,2065439,554584280645000.0,98505.0,679756.0,0.32909999999999995
