Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-12-03,AXISBANK,EQ,608.1,610.15,611.0,600.35,602.85,602.7,605.26,17746316,1074121411860000.0,171570.0,4843997.0,0.273
2020-12-04,AXISBANK,EQ,602.7,606.6,616.45,603.2,616.0,614.5,610.34,20019707,1221884710960000.0,202166.0,7547179.0,0.37700000000000006
2020-12-07,AXISBANK,EQ,614.5,616.95,624.4,612.45,615.0,619.25,618.16,24658169,1524272233070000.0,243133.0,8912413.0,0.3614
2020-12-08,AXISBANK,EQ,619.25,619.1,623.85,611.6,620.05,620.65,619.68,16005349,991815744040000.0,187826.0,4649326.0,0.29050000000000004
2020-12-09,AXISBANK,EQ,620.65,619.15,636.7,619.0,632.7,634.2,629.27,22000284,1384411440655000.0,280377.0,8447558.0,0.384
2020-12-10,AXISBANK,EQ,634.2,624.5,632.45,620.35,625.9,627.05,626.99,16126862,1011133775100000.0,191871.0,5887252.0,0.3651
2020-12-11,AXISBANK,EQ,627.05,626.35,631.65,608.35,612.4,613.25,619.75,17950692,1112486204510000.0,202477.0,3968964.0,0.2211
2020-12-14,AXISBANK,EQ,613.25,616.0,623.8,612.4,616.0,615.9,618.06,14567480,900352924650000.0,166555.0,4725895.0,0.32439999999999997
2020-12-15,AXISBANK,EQ,615.9,615.75,615.75,602.3,606.9,607.1,606.63,22311290,1353476573025000.0,249122.0,6489279.0,0.2909
2020-12-16,AXISBANK,EQ,607.1,613.55,614.9,604.8,605.75,606.1,609.19,14860853,905314622745000.1,148177.0,5079344.0,0.3418
2020-12-17,AXISBANK,EQ,606.1,607.25,611.0,603.2,606.0,605.4,606.34,14598759,885177734615000.0,158866.0,6115570.0,0.4189
2020-12-18,AXISBANK,EQ,605.4,604.4,611.0,596.5,608.6,609.5,604.52,17301814,1045933037985000.0,179046.0,4457590.0,0.2576
2020-12-21,AXISBANK,EQ,609.5,605.25,607.25,573.4,578.55,582.5,593.94,18580262,1103560550540000.0,233959.0,4724586.0,0.2543
