date,ADANIPORTS,ASIANPAINT,AXISBANK,HDFC,ITC,TCS,LT,HINDUNILVR,INFY,ICICIBANK,RELIANCE,KOTAKBANK,HEROMOTOCO,WIPRO,HCLTECH
2013-03-26,131.41,4900.2,1294.39,819.06,306.5,1557.67,1345.58,470.64,2852.09,1017.33,790.33,635.31,1599.55,435.07,776.3
2013-03-28,137.75,4907.14,1292.27,818.38,307.71,1561.68,1350.62,467.56,2885.67,1025.66,773.51,649.1,1532.02,436.29,791.74
2013-04-01,141.81,4940.58,1310.54,826.25,307.21,1561.62,1394.27,470.64,2938.07,1049.7,779.78,649.96,1532.81,433.55,790.58
2013-04-02,147.09,4916.62,1303.22,817.66,306.39,1557.43,1417.79,471.27,2960.36,1046.79,788.57,654.68,1530.07,443.21,794.48
2013-04-03,147.76,4874.23,1295.67,809.16,306.52,1555.41,1403.17,464.12,2976.55,1048.01,786.99,655.5,1514.75,450.45,790.3
2013-04-04,141.85,4823.48,1250.16,795.97,302.87,1512.56,1366.78,467.92,2896.01,1012.26,769.23,635.32,1470.8,446.01,753.49
2013-04-05,145.69,4767.44,1233.54,771.1,292.91,1496.77,1354.85,471.81,2877.82,995.8,776.36,635.7,1463.48,450.71,756.15
2013-04-08,145.23,4666.87,1215.65,766.45,289.13,1481.59,1334.13,476.19,2843.12,996.82,788.45,629.8,1481.16,444.41,749.14
2013-04-09,145.95,4578.47,1218.62,765.2,289.34,1498.57,1338.8,474.34,2789.08,1001.23,783.91,628.59,1480.87,401.39,749.17
2013-04-10,147.08,4523.36,1225.77,773.83,284.75,1518.34,1337.67,468.99,2802.16,993.59,777.87,630.4,1463.84,401.49,752.46
2013-04-11,150.78,4552.2,1245.24,766.09,286.27,1537.21,1368.64,469.43,2888.71,1035.25,771.37,630.41,1454.79,403.76,782.21
2013-04-12,149.35,4665.14,1258.64,765.98,292.92,1504.87,1366.17,477.77,2364.91,1040.42,774.4,636.62,1452.15,382.21,773.16
2013-04-15,145.52,4662.97,1291.1,778.05,297.41,1473.83,1374.52,473.98,2282.55,1052.88,789.79,641.92,1445.45,381.21,773.22
2013-04-16,145.54,4688.53,1337.84,797.75,305.2,1473.05,1413.89,483.37,2305.03,1072.81,801.67,649.67,1480.09,380.46,762.75
2013-04-17,143.29,4694.24,1379.59,803.59,311.35,1460.8,1425.23,484.09,2284.8,1097.86,781.78,658.19,1492.96,376.86,766.77
2013-04-18,144.38,4640.88,1409.33,810.58,314.46,1451.3,1455.38,484.2,2295.33,1110.43,779.71,663.24,1482.05,367.0,746.64
2013-04-22,146.83,4670.33,1454.09,831.12,315.62,1434.07,1510.53,483.72,2246.4,1136.13,788.06,672.4,1530.14,336.45,723.04
2013-04-23,147.57,4648.69,1430.09,834.53,316.29,1433.21,1506.02,482.59,2259.82,1142.53,796.84,683.87,1553.53,342.85,730.57
2013-04-25,144.32,4665.79,1490.76,857.06,319.06,1407.35,1516.86,476.07,2235.21,1176.27,818.62,706.88,1603.41,336.2,720.92
2013-04-26,144.96,4720.96,1481.66,869.67,318.37,1374.51,1532.18,467.03,2212.66,1154.1,803.95,706.19,1607.13,332.69,689.62
2013-04-29,145.14,4718.22,1471.19,865.86,321.71,1374.34,1531.44,481.91,2227.53,1147.05,792.93,705.86,1657.63,337.37,696.16
2013-04-30,144.58,4680.93,1482.79,852.34,331.19,1373.15,1503.18,583.76,2231.49,1158.23,785.65,706.16,1640.51,344.72,713.43
2013-05-02,146.31,4730.47,1514.18,862.89,332.18,1417.25,1546.14,575.4,2278.29,1175.98,796.38,717.53,1642.4,351.91,732.54
