Dates,AAPL,ADBE,AMZN,BA,BLK,CSCO,IBM,JPM,MSFT,NVDA
01-01-2016,105.26,93.94,675.89,144.59,340.52,27.155,137.62,66.03,55.48,32.96
04-01-2016,105.35,91.97,636.99,140.5,333.1,26.41,135.95,63.62,54.8,32.37
05-01-2016,102.71,92.34,633.79,141.07,333.96,26.29,135.85,63.73,55.05,32.89
06-01-2016,100.7,91.02,632.65,138.83,330.16,26.01,135.17,62.81,54.05,31.53
07-01-2016,96.45,89.11,607.94,133.01,315.73,25.41,132.86,60.27,52.17,30.28
08-01-2016,96.96,87.85,607.05,129.99,307.78,24.78,131.63,58.92,52.33,29.63
11-01-2016,98.53,89.38,617.74,130.21,308.32,25.27,133.23,58.83,52.3,29.68
12-01-2016,99.96,89.82,617.89,131.92,313.59,25.35,132.9,58.96,52.78,30.18
13-01-2016,97.39,88.3,581.81,128.12,304.61,24.6,131.17,57.34,51.64,29.26
14-01-2016,99.52,89.8,593.0,129.2,310.0,24.66,132.91,58.2,53.11,28.67
15-01-2016,97.13,89.17,570.18,125.63,296.58,23.62,130.03,57.04,50.99,27.11
18-01-2016,97.13,89.17,570.18,125.63,296.58,23.62,130.03,57.04,50.99,27.11
19-01-2016,96.66,89.18,574.48,126.06,294.0,23.85,128.11,57.01,50.56,27.33
20-01-2016,96.79,87.94,571.77,122.14,292.0,22.9,121.86,55.51,50.79,27.48
21-01-2016,96.3,88.0,575.02,123.4,289.9,22.9,122.91,55.25,50.48,27.8
22-01-2016,101.42,89.63,596.38,124.61,300.56,23.37,122.5,56.95,52.29,28.45
25-01-2016,99.44,86.77,596.53,124.01,289.72,23.17,122.08,55.66,51.79,28.42
26-01-2016,99.99,86.89,601.25,128.01,299.26,23.72,122.59,57.08,52.17,28.7
27-01-2016,93.42,84.85,583.35,116.58,302.12,23.43,120.96,57.04,51.22,28.36
28-01-2016,94.09,84.52,635.35,118.01,299.17,23.105,122.22,57.28,52.055,28.05
29-01-2016,97.34,89.13,587.0,120.13,314.26,23.79,124.79,59.5,55.09,29.29
01-02-2016,96.43,89.61,574.81,121.56,312.25,23.48,124.83,58.86,54.71,29.3
02-02-2016,94.48,87.95,552.1,117.52,301.21,22.83,122.94,57.03,53.0,28.06
03-02-2016,96.35,87.99,531.07,121.87,304.06,23.1,124.72,57.41,52.16,28.2
04-02-2016,96.6,86.36,536.26,123.61,313.7,23.54,127.65,58.4,52.0,28.21
05-02-2016,94.02,79.2,502.13,122.56,307.75,22.89,128.57,57.75,50.16,26.43
08-02-2016,95.01,74.94,488.1,119.47,293.46,22.93,126.98,56.54,49.41,25.22
09-02-2016,94.99,73.85,482.07,118.88,294.53,22.65,124.07,56.2,49.28,25.49
10-02-2016,94.27,75.53,490.48,116.36,298.56,22.51,120.19,55.52,49.71,25.43
11-02-2016,93.7,74.94,503.82,108.44,294.21,24.68,117.85,53.07,49.69,25.3
12-02-2016,93.99,76.67,507.08,108.63,306.8,25.11,121.04,57.49,50.5,25.73
15-02-2016,93.99,76.67,507.08,108.63,306.8,25.11,121.04,57.49,50.5,25.73
